KEY,en,ua
SHIZA,???,???
SHIZA_RPL_1,You are here again... Seems like 1987 attempts were not enough,Ти знову тут... 1987 разів було не достатньо...
SHIZA_RPL_2,Why open the door.. Now again.. Pain..,Нащо чіпати двері… Тепер знову… Біль…
PLAYER_RPL_1,Where am i?,Де я?
SHIZA_RPL_3,Does it really matter?,Хіба це важливо???
SHIZA_RPL_3_PLAYER_RPL_OPTION_1,Yes,Так
SHIZA_RPL_3_PLAYER_RPL_OPTION_2,I guess not,"Певно, ні"
SHIZA_RPL_4,Doesn't matter!,Не важливо!
SHIZA_RPL_5,And what was important?,А що було важливим?
SHIZA_RPL_5_PLAYER_RPL_OPTION_1,Friends,Друзі 
SHIZA_RPL_5_PLAYER_RPL_OPTION_2,Parents,Батьки
SHIZA_RPL_5_PLAYER_RPL_OPTION_3,Love,Кохання
SHIZA_RPL_6,The one and only important thing was PAIN..,Важливим був ЛИШЕ БІЛЬ…
SCHOOL_SHIZA_RPL_1,You are here... Do you know where are we?,Ти тут… Знаєш де це ?
SCHOOL_SHIZA_RPL_1_PLAYER_RPL_OPTION_1,My school???,Моя школа???
SCHOOL_PLAYER_RPL_1,"Anxiety, sadness and resentment overflow you","*Тривога, смуток і образа сповнюють вас*"
SCHOOL_PLAYER_RPL_2,I can't be there... I must go...,Тут не можна бути… Треба піти…
SCHOOL_PLAYER_RPL_3,Soon everyone will come back...,Скоро всі повернуться…
SCHOOL_PLAYER_RPL_4,I will be alone again,Я знову буду один…
SCHOOL_SHIZA_RPL_2,*HA HA HA HA*,*ХА ХА ХА ХА*
SCHOOL_SHIZA_RPL_3,I should stay away from him...,Триматимусь від нього подалі…
SCHOOL_SHIZA_RPL_4,Better not to bother him...,Краще його не чіпати…
SCHOOL_SHIZA_RPL_5,*Whispers* Did you hear what have happend to his parents?,"*Плітки* Ти чула, що стало з його батьками?"
SCHOOL_PLAYER_RPL_5,*Memories overflow your mind*,*Спогади заповнюють вашу голову*
SCHOOL_PLAYER_RPL_6,Why? Why are you avoiding me?,Чому? Чому ви уникаєте мене? 
SCHOOL_PLAYER_RPL_7,I too want with you!! I too want to play!!!,Я теж хочу з вами!!! Я теж хочу пограти!!!
SCHOOL_PLAYER_RPL_8,Let me join to you!!!,Візьміть до себе!!!!
SCHOOL_SHIZA_RPL_6,Join? Who are you?,До себе? Хто ти такий? 
SCHOOL_SHIZA_RPL_7,You are worthless! They don't need you! You are not interesting to them.,Ти ніщо! Ти їм не потрібен! Ти їм не цікавий.
SCHOOL_SHIZA_RPL_8,Be happy they don't bully you.,"Насолоджуйся тим, що вони не чіпають тебе."
SCHOOL_SHIZA_RPL_9,"Afterall, they are your beloved F R I E N D S!!!",Це ж твої любі Д   Р   У   З   І !!!
FORREST_SHIZA_RPL_1,*Breathes in* What a fantastic air!!!,*Вдихає* Яке чудове повітря!!!
FORREST_PLAYER_RPL_1,*Subconsciously you take deep breath*,*Підсвідомо ви робите глибокий вдих*
FORREST_PLAYER_RPL_2,*Your lungs are filling with something heavy*,*Ваши легені наповнюються чимоь неймовірно важким*
FORREST_PLAYER_RPL_3,*You are choking...*,*Ви задихаєтеся…*
FORREST_SHIZA_RPL_2,"MORE, MORE, MORE!","ЩЕ, ЩЕ, ЩЕ!"
FORREST_SHIZA_RPL_3,"This lantern, forest, air...","Цей ліхтар, ліс, повітря..."
FORREST_PLAYER_RPL_4,Just not here...,Тільки не сюди…
FORREST_PLAYER_RPL_5,Let me go...,Дай мені піти…
FORREST_SHIZA_RPL_4,You can't run from our conversation...,Від розмови зі мною не втечеш...
FORREST_SHIZA_RPL_5,Little boy sits on bench...,Маленький хлопчик сидить на лавці...
FORREST_PLAYER_RPL_6,*It is hard to breathe*,*Дихання перехоплює*
FORREST_SHIZA_RPL_6,Little boy is capricious...,Маленький хлопчик вередує...
FORREST_SHIZA_RPL_7,"Litlte boy ran away from parents, because they haven't done some whim of his","Маленький хлопчик втік від батьків, бо ті не зробили якусь дрібницю..."
FORREST_PLAYER_RPL_7,*You start crying*,*На очах навертаються сльози*
FORREST_SHIZA_RPL_8,Little boy is waiting...,Маленький хлопчик чекає…
FORREST_SHIZA_RPL_9,Mom is gone for a long time... As well as Dad...,Мами довго нема… Тата довго нема…
FORREST_PLAYER_RPL_8,*You want to kill yourself*,*Вам хочеться вбити себе*
FORREST_SHIZA_RPL_10,Little boy is scared...,Маленькому хлопчику стає страшно...
FORREST_SHIZA_RPL_11,Little boy starts to cry for real...,Маленький хлопчик починає плакати по справжньому...
FORREST_SHIZA_RPL_12,Little boy doesn't know yet what have happened...,"Маленький хлопчик ще не знає, що трапилося..."
FORREST_SHIZA_RPL_13,Little boy hear shouting and sirens...,"Маленький хлопчик чує крики, верещать сирени..."
FORREST_SHIZA_RPL_14,Everyone run away from park...,Всі тікають з парку...
FORREST_SHIZA_RPL_15,No one cares about little boy...,Всім все одно на маленького хлопчика...
FORREST_SHIZA_RPL_16,Little boy see lantern...,Маленький хлопчик бачить ліхтар...
FORREST_SHIZA_RPL_17,"Behind the lantern, a cloud of dark smoke covers the ground...",За ліхтарем кубла темного диму застеляють землю...
FORREST_SHIZA_RPL_18,A fire is breaking out behind the lantern...,За ліхтарем розгортається пожежа...
FORREST_SHIZA_RPL_19,Behind the lantern are the parents of a little boy...,За ліхтарем батьки маленького хлопчика...
FORREST_SHIZA_RPL_20,Little boy faints...,Маленький хлопчик втрачає свідомість...
FORREST_SHIZA_RPL_21,Little boy avoided death...,Маленький хлопчик уник смерті...
FORREST_SHIZA_RPL_22,Little boy left them...,Маленький хлопчик їх покинув...
